company_name,company_pic,company_address,company_phone,company_email,training_name,training_category,training_type,company_field,company_size,training_price,training_session,number_of_participants,trainer_name,communication_channel,purchasing_time_patterns,payment_total,payment_method,durations,training_dates,ratings,feedbacks,sales_pipeline,sales_person
Tribakti Inspektama,Lasmanto Pratiwi,"Jalan Cihampelas No. 282
Pontianak, Kalimantan Tengah 30563",+62 (183) 655 1415,muhammadnasyidah@example.org,Teknik Analisa Big Data untuk Memaksimalkan Marketing,Sales & Marketing,Online Training,Telekomunikasi,Menengah,2109381,9,80,Heryanto Gunawan,Instagram,Musiman,168750480,M-Banking,1,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L2,Tgk. Aslijan Simbolon
Bank Bukopin Syariah,Puti Gina Napitupulu,"Jalan Tubagus Ismail No. 02
Sukabumi, BB 74318",(097) 773 7113,januarkamaria@example.net,Teknik Penjualan yang Efektif di Era Covid-19 & WFH,Sales & Marketing,Online Training,Pendidikan,Kecil,1915587,5,59,R.A. Tari Zulkarnain,WA,Peristiwa Khusus,113019633,E-Wallet,19,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L1,Cahyono Maulana
Bank Bukopin Syariah,"Karna Purwanti, S.I.Kom","Gg. Pelajar Pejuang No. 660
Jambi, Jambi 60449",+62 (0801) 007-5669,rprasetyo@example.net,Mengelola Tim Penjualan Di Era Covid - 19 & WFH Bagi Supervisor & Manager,Sales & Marketing,Online Training,Pendidikan,Menengah,1945462,9,101,Halima Prabowo,WA,Hari Spesifik,196491662,ATM,14,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L2,Aurora Firgantoro
Kementrian Agama,Tania Yolanda,"Jl. Cihampelas No. 8
Tual, ST 59647",+62-0247-253-2150,iswahyudiraisa@example.net,Marketing Support & Sales Admin Development Program,Sales & Marketing,Online Training,Manufaktur,Menengah,1802997,9,96,Praba Sudiati,Instagram,Diskon,173087712,E-Wallet,5,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,Respati Halim
M3kom,Zaenab Anggriawan,"Gang Moch. Ramdan No. 083
Payakumbuh, SS 13214",(025) 406 2520,mulyono67@example.com,Akuisisi Produk Financial Services Melalui Digital Marketing,Sales & Marketing,Online Training,Pariwisata dan Perhotelan,Menengah,2025571,9,112,Garda Nasyiah,Facebook,Diskon,226863952,M-Banking,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,dr. Lukman Manullang
Artha Asia Finance,Suci Wibisono,"Jalan Pacuan Kuda No. 75
Batu, JA 99918",+62 (48) 272-1239,kadirfirgantoro@example.org,Memaksimalkan Digital Marketing Untuk Bisnis,Sales & Marketing,Online Training,Acara dan Hiburan,Menengah,1887392,10,108,"Dadi Hassanah, M.M.",Linkedin,Musiman,203838336,Tunai,23,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,"Hari Widodo, S.Sos"
Bank Mega,Sutan Joko Mayasari,"Jalan Veteran No. 731
Tegal, GO 71582",(0240) 034 3880,balidin10@example.com,Optimalisasi Social Media Branding Menggunakan Storytelling,Sales & Marketing,Online Training,Pendidikan,Besar,1880281,16,151,Raina Hutapea,Linkedin,Bulan,283922431,ATM,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L3,Gawati Hasanah
BPRS HIK Cibitung,"Dt. Legawa Maulana, S.Pd","Jl. Suniaraja No. 01
Tebingtinggi, BB 22847",+62 (035) 043 7893,jayengnugroho@example.com,Digital Marketing Untuk Bisnis B2B,Sales & Marketing,Online Training,Pendidikan,Besar,1791310,16,169,Mahdi Wibowo,Instagram,Bulan,302731390,E-Wallet,5,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",8,Bagus,L4,Galih Lailasari
SK Consulting,Daruna Natsir,"Jalan Wonoayu No. 707
Tanjungbalai, BT 94655",+62-79-795-3820,wibowoghaliyati@example.com,Memenangkan SEO  (Search Engine Optimization) Untuk Bisnis,Sales & Marketing,Online Training,Energi dan Lingkungan,Besar,2664121,15,135,Gada Widiastuti,SMS,Diskon,359656335,E-Wallet,15,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L3,R. Titin Maulana
TACO,Jelita Saefullah,"Gg. Waringin No. 996
Binjai, Sumatera Selatan 83407",+62 (0341) 878 2812,ksuryatmi@example.org,Sales & Marketing Management,Sales & Marketing,Online Training,Pendidikan,Besar,1826607,16,148,Cut Septi Fujiati,Instagram,Peristiwa Khusus,270337836,ATM,1,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L3,Mulyanto Padmasari
Jasaraharja Lampung,Yahya Saputra,"Gang Otto Iskandardinata No. 22
Pasuruan, Kalimantan Utara 60010",+62 (66) 295-6206,harja03@example.net,"Design Thinking: Creating Innovative Product, Excellent Services and Powerful Selling",Sales & Marketing,Online Training,Retail,Menengah,1559445,11,112,Nadine Sihombing,Telegram,Hari Spesifik,174657840,ATM,6,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,drg. Tantri Rajasa
MPM Finance,Marwata Samosir,"Jl. Cihampelas No. 451
Kupang, Sulawesi Utara 54589",084 589 4409,simon30@example.org,Enterprise Solution Selling,Sales & Marketing,Online Training,Teknologi,Besar,2299098,12,138,Opan Prayoga,Telegram,Bulan,317275524,E-Wallet,3,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,"Cut Belinda Mandasari, S.Farm"
Bank Of China,Devi Hardiansyah,"Jalan Tebet Barat Dalam No. 107
Tanjungpinang, BA 15686",+62 (80) 523 2398,bambangrahmawati@example.org,Powerful Closing Technique Using Psychological Story Telling,Sales & Marketing,Online Training,Kesehatan,Besar,2451394,16,150,Cahyadi Mardhiyah,Facebook,Hari Spesifik,367709100,Tunai,12,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,"Cut Ajeng Kusmawati, M.Kom."
Kereta Cepat Indonesia China (KCIC),Drs. Yessi Saragih,"Jalan Joyoboyo No. 27
Blitar, Jawa Barat 87020",(068) 297-8566,rahimahasmianto@example.org,Professional Telesales & Telemarketing,Sales & Marketing,Online Training,Energi dan Lingkungan,Menengah,2592206,9,80,Tgk. Ayu Halimah,Instagram,Hari Spesifik,207376480,E-Wallet,18,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",8,Bagus,L3,"Drs. Himawan Uyainah, M.TI."
CSUL,Chelsea Setiawan,"Gang Abdul Muis No. 6
Batu, Gorontalo 32689",+62 (675) 192 3119,zahrakuswandari@example.net,Sales Oriented - Customer Service,Sales & Marketing,Online Training,Acara dan Hiburan,Besar,1753669,15,148,"Dt. Gada Mandasari, M.Farm",Email,Musiman,259543012,Tunai,19,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,"drg. Okta Hidayat, S.H."
BPRS Dhinar Asri,Calista Tamba,"Jalan Erlangga No. 809
Tegal, Kalimantan Timur 27676",+62 (056) 386-8148,wmandasari@example.com,Sales Performance Improvement For Extraordinary Result,Sales & Marketing,Online Training,Retail,Menengah,1649619,11,93,Jane Natsir,Email,Diskon,153414567,E-Wallet,11,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,"H. Galiono Firgantoro, M.Ak"
Indonesia  Teijin Dupont,dr. Maryadi Wibisono,"Jl. Monginsidi No. 5
Makassar, JA 03171",+62 (81) 639 3726,lprasetya@example.org,Experiential Marketing Strategy & Tactics,Sales & Marketing,Online Training,Pariwisata dan Perhotelan,Kecil,1936250,5,42,Silvia Sitorus,Email,Musiman,81322500,Tunai,5,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",9,Bagus,L2,Yani Nuraini
Hyundai Motors Indonesia,"Tgk. Kasiran Gunarto, S.IP","Jalan S. Parman No. 1
Kota Administrasi Jakarta Utara, Papua Barat 74149",+62 (030) 399-0065,salsabilayuniar@example.com,Teknik Penjualan Aset Kredit Bermasalah,Sales & Marketing,Online Training,Energi dan Lingkungan,Menengah,2787940,10,104,Murti Rahmawati,Email,Diskon,289945760,Tunai,25,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,"Tgk. Mahesa Saragih, M.Farm"
Indowire Prima Industrindo,Harjasa Simbolon,"Jl. Ahmad Dahlan No. 573
Jambi, Lampung 03280",+62 (0351) 298-5194,flatupono@example.org,Teknik Penagihan Era Covid 19 & PJOK 11 (3/2020),Sales & Marketing,Online Training,Manufaktur,Menengah,2019389,11,98,Karna Mandasari,Email,Musiman,197900122,M-Banking,27,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,Vino Marpaung
Indowire Prima Industrindo,"Diana Habibi, S.Sos","Jl. Ciumbuleuit No. 056
Bima, KB 03042",+62 (0052) 373-3100,wijayasaadat@example.net,"Mengelola Team Collection Era Covid-19 bagi Manager,Supervisor & Team Leader: Collector Skills Transformation & Team Motivation Charge Up",Sales & Marketing,Online Training,Keuangan,Besar,1788018,16,136,"Karman Gunarto, S.E.",SMS,Musiman,243170448,E-Wallet,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",7,Bagus,L4,Zelaya Hardiansyah
Hutama Karya Infrastruktur,dr. Karta Nuraini,"Gg. Rajawali Timur No. 28
Pekalongan, Kalimantan Utara 94985",(0073) 240 7869,shakilalatupono@example.net,Analisa Kredit Berbasis Laporan Keuangan,Sales & Marketing,Online Training,Retail,Besar,1661820,16,111,Farhunnisa Rahimah,Facebook,Hari Spesifik,184462020,Tunai,17,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,Febi Pranowo
Bank Of CHina,Ellis Prabowo,"Jalan Stasiun Wonokromo No. 620
Pekanbaru, Kepulauan Bangka Belitung 14086",(0392) 497-8218,betaniawasita@example.com,"Antisipasi Pemalsuan Dokumen, Tanda Tangan, dan Mafia Fraud",Sales & Marketing,Online Training,Pendidikan,Menengah,1973990,10,109,Ganda Purnawati,Instagram,Peristiwa Khusus,215164910,ATM,5,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L2,Galih Samosir
MPM Finance,"Indah Narpati, S.Farm","Gg. Cikutra Timur No. 951
Banjar, SU 76844",+62-466-798-9297,samsul26@example.net,Graphonomy & Graphology: Pencegahan Pemalsuan Tanda Tangan & Penipuan Dokumen di Era New Normal,Sales & Marketing,Online Training,Kesehatan,Besar,2393931,15,124,"dr. Kala Kuswandari, S.Sos",Instagram,Musiman,296847444,E-Wallet,9,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L3,Viman Rahimah
Bank Sumut,Yance Riyanti,"Gang Pasirkoja No. 63
Cimahi, Kalimantan Barat 93057",(050) 514 8798,veralaksmiwati@example.com,Financial Fraud Verification Skill in New Normal and Society 4.0 Era,Sales & Marketing,Online Training,Retail,Kecil,1630507,4,54,"Sarah Nababan, M.Ak",Facebook,Musiman,88047378,ATM,25,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",7,Bagus,L2,Ulva Winarno
Frisan Flag Indonesia,"Cut Mala Januar, M.M.","Gg. Jayawijaya No. 0
Cilegon, YO 01633",(071) 095 3052,natsirhari@example.com,Aspek Legal Pembiayaan & Penagihan Kartu Kredit,Sales & Marketing,Online Training,Teknologi,Besar,2200394,16,157,"Putri Mardhiyah, S.Sos",Facebook,Musiman,345461858,M-Banking,21,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",9,Bagus,L4,Yusuf Prasetyo
BI Institute,Artanto Januar,"Jalan Kutai No. 383
Probolinggo, Aceh 89268",(0831) 673-6663,latuponolaila@example.org,Antisipasi & Pencegahan Transaksi Pencucian Uang,Sales & Marketing,Online Training,Pariwisata dan Perhotelan,Besar,2047057,15,141,Timbul Haryanti,Linkedin,Diskon,288635037,Tunai,18,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",6,Cukup Bagus,L3,"Chandra Pertiwi, S.Farm"
BPRS HIK Cibitung ,Yono Napitupulu,"Jl. Cihampelas No. 720
Padang, Papua Barat 98536",+62-925-479-9127,septihutasoit@example.org,Soft Skills for Credit Analyst & Surveyor,Sales & Marketing,Online Training,Jasa Profesional,Kecil,2319289,5,45,R.M. Joko Yulianti,Linkedin,Hari Spesifik,104368005,ATM,25,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L1,Garan Haryanti
Bank Fama International,Dr. Hasna Manullang,"Gg. Cikutra Barat No. 849
Pariaman, Jawa Barat 75364",+62 (20) 699 4547,irawanembuh@example.org,Advance Commercial Credit Analysis as  a Basis for Business Coach: Credit Skill foundation to Become a Business Coach,Sales & Marketing,Online Training,Keuangan,Menengah,1896942,10,97,Dr. Emil Mandasari,Telegram,Bulan,184003374,Tunai,16,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",2,Buruk,L1,Cemani Tampubolon
ACA,Lili Prayoga,"Jalan Abdul Muis No. 7
Surakarta, SR 65593",+62 (22) 222-6708,saragihkemal@example.com,Advance RM training: RM sebagai Business Coach kepada Debiturnya. Phase 1:Business Coach Membuat Bisnis Debitur Sukses dan Sustainable,Sales & Marketing,Online Training,Acara dan Hiburan,Kecil,1755220,5,47,Dr. Endah Kusumo,Linkedin,Peristiwa Khusus,82495340,ATM,5,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L1,Gangsar Siregar
Kobexindo,"Aurora Susanti, M.Farm","Jalan Raya Setiabudhi No. 7
Tasikmalaya, Banten 02934",(005) 240-8850,embuhsuwarno@example.org,Advance RM training: RM sebagai Business Coach kepada Debiturnya. Phase 2: Business Coach Membuat Bisnis Debitur menjadi Level Korporat,Sales & Marketing,Online Training,Pariwisata dan Perhotelan,Kecil,1871817,5,46,Danang Lazuardi,Linkedin,Musiman,86103582,M-Banking,5,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L1,"Dr. Pandu Habibi, S.Farm"
Medion,Gandi Maryati,"Gg. Stasiun Wonokromo No. 2
Padang Sidempuan, SG 53778",(002) 043-3567,maheswarahana@example.org,"Fraud Prevention & Handling bagi Pembiayaan Mikro: Identifikasi, Investigasi, Penanganan, Aspek Hukum, Trend dan Metode Terbaru",Sales & Marketing,Online Training,Keuangan,Besar,1995996,15,178,Kadir Thamrin,Instagram,Hari Spesifik,355287288,Tunai,13,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",4,Buruk,L2,Teddy Prasetya
HK Metals Utama,Drs. Ihsan Yolanda,"Jalan Dr. Djunjunan No. 07
Tegal, Sumatera Selatan 88036",(041) 195 5396,santosobalapati@example.com,Collection Recovery Section Head Development Program,Sales & Marketing,Online Training,Manufaktur,Besar,1982690,16,153,Hani Jailani,Facebook,Peristiwa Khusus,303351570,M-Banking,23,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L3,T. Cakrabuana Saragih
Sharp Electronics,"Patricia Hutagalung, S.E.I","Gang Gardujati No. 30
Pangkalpinang, Aceh 40981",+62 (0571) 553 6237,prabowolidya@example.com,Collection Target Fixing & Motivation Charge Up,Sales & Marketing,Online Training,Acara dan Hiburan,Menengah,1789244,10,106,Ibrahim Waluyo,Facebook,Hari Spesifik,189659864,E-Wallet,29,"DatetimeIndex(['2022-01-01', '2022-01-02', '2022-01-03', '2022-01-04',
               '2022-01-05', '2022-01-06', '2022-01-07', '2022-01-08',
               '2022-01-09', '2022-01-10',
               ...
               '2022-12-22', '2022-12-23', '2022-12-24', '2022-12-25',
               '2022-12-26', '2022-12-27', '2022-12-28', '2022-12-29',
               '2022-12-30', '2022-12-31'],
              dtype='datetime64[ns]', length=365, freq='D')",5,Cukup Bagus,L2,Drs. Galang Santoso
